event_id,session_id,event_type,event_time,order_id,revenue
1,1,page_view,2025-08-14T11:02,,0.0
2,1,page_view,2025-08-14T11:07,,0.0
3,2,page_view,2024-02-29T11:56,,0.0
4,2,page_view,2024-02-29T12:01,,0.0
5,2,page_view,2024-02-29T11:58,,0.0
6,2,page_view,2024-02-29T12:05,,0.0
7,2,page_view,2024-02-29T12:08,,0.0
8,2,add_to_cart,2024-02-29T12:08,,0.0
9,3,page_view,2024-11-13T16:23,,0.0
10,3,page_view,2024-11-13T16:27,,0.0
11,3,page_view,2024-11-13T16:25,,0.0
12,4,page_view,2024-04-22T16:15,,0.0
13,4,page_view,2024-04-22T16:18,,0.0
14,5,page_view,2024-06-15T08:39,,0.0
15,5,page_view,2024-06-15T08:40,,0.0
16,5,page_view,2024-06-15T08:47,,0.0
17,6,page_view,2025-01-03T12:09,,0.0
18,7,page_view,2025-02-01T20:56,,0.0
19,7,page_view,2025-02-01T21:01,,0.0
20,7,page_view,2025-02-01T21:04,,0.0
21,7,page_view,2025-02-01T21:11,,0.0
22,7,page_view,2025-02-01T21:12,,0.0
23,8,page_view,2025-08-17T05:38,,0.0
24,8,page_view,2025-08-17T05:42,,0.0
25,9,page_view,2025-03-10T13:30,,0.0
26,9,page_view,2025-03-10T13:35,,0.0
27,9,page_view,2025-03-10T13:40,,0.0
28,10,page_view,2025-09-17T03:22,,0.0
29,10,page_view,2025-09-17T03:26,,0.0
30,10,page_view,2025-09-17T03:30,,0.0
31,11,page_view,2025-10-23T23:37,,0.0
32,11,page_view,2025-10-23T23:40,,0.0
33,11,page_view,2025-10-23T23:41,,0.0
34,12,page_view,2025-02-09T10:36,,0.0
35,12,page_view,2025-02-09T10:38,,0.0
36,13,page_view,2024-10-22T11:39,,0.0
37,13,page_view,2024-10-22T11:40,,0.0
38,14,page_view,2025-11-06T17:11,,0.0
39,15,page_view,2024-05-30T00:34,,0.0
40,15,page_view,2024-05-30T00:35,,0.0
41,15,page_view,2024-05-30T00:44,,0.0
42,15,page_view,2024-05-30T00:43,,0.0
43,15,page_view,2024-05-30T00:54,,0.0
44,16,page_view,2024-08-04T03:54,,0.0
45,16,page_view,2024-08-04T03:56,,0.0
